Date, Open, High, Low, Close
12/29/15, 18843.39, 18991.01, 18783.36, 18982.23
12/28/15, 18838.91, 18922.90, 18764.54, 18873.35
12/25/15, 18823.91, 18870.70, 18744.44, 18769.06
12/24/15, 19071.41, 19071.41, 18780.94, 18789.69
12/22/15, 18927.86, 18943.46, 18824.65, 18886.70
12/21/15, 18845.50, 18979.83, 18651.13, 18916.02
12/18/15, 19320.46, 19869.08, 18982.25, 18986.80
12/17/15, 19364.57, 19507.17, 19325.15, 19353.56
12/16/15, 18868.20, 19054.89, 18859.11, 19049.91
12/15/15, 18869.04, 18897.87, 18562.51, 18565.90
12/14/15, 18887.09, 18911.78, 18611.09, 18883.42
12/11/15, 19020.75, 19282.21, 19020.75, 19230.48
12/10/15, 19070.02, 19125.06, 19025.78, 19046.55
12/09/15, 19391.50, 19475.40, 19260.12, 19301.07
12/08/15, 19689.87, 19764.21, 19475.28, 19492.60
12/07/15, 19710.39, 19811.51, 19677.21, 19698.15
12/04/15, 19616.52, 19660.90, 19444.54, 19504.48
12/03/15, 19894.63, 19967.88, 19862.74, 19939.90
12/02/15, 19957.50, 20002.12, 19926.22, 19938.13
12/01/15, 19799.08, 20012.40, 19797.55, 20012.40
11/30/15, 19857.38, 19867.95, 19707.67, 19747.47
11/27/15, 19994.05, 19994.05, 19831.25, 19883.94
11/26/15, 19929.97, 19992.44, 19926.10, 19944.41
11/25/15, 19856.84, 19871.75, 19786.53, 19847.58
11/24/15, 19875.99, 19954.00, 19834.76, 19924.89
11/20/15, 19800.20, 19879.81, 19715.74, 19879.81
11/19/15, 19851.24, 19959.06, 19761.56, 19859.81
11/18/15, 19771.86, 19840.00, 19643.97, 19649.18
11/17/15, 19641.67, 19726.01, 19628.84, 19630.63
11/16/15, 19263.96, 19451.09, 19252.04, 19393.69
11/13/15, 19495.26, 19601.49, 19388.91, 19596.91
11/12/15, 19644.65, 19725.83, 19597.99, 19697.77
11/11/15, 19602.01, 19724.12, 19602.01, 19691.39
11/10/15, 19457.05, 19674.05, 19457.05, 19671.26
11/09/15, 19411.51, 19684.41, 19389.74, 19642.74
11/06/15, 19194.34, 19294.15, 19164.86, 19265.60
11/05/15, 19029.44, 19167.09, 18995.96, 19116.41
11/04/15, 18941.32, 19151.89, 18926.91, 18926.91
11/02/15, 18827.11, 18861.11, 18641.22, 18683.24
10/30/15, 18924.31, 19202.34, 18784.69, 19083.10
10/29/15, 19046.16, 19080.89, 18809.48, 18935.71
10/28/15, 18826.94, 18925.51, 18815.12, 18903.02
10/27/15, 18961.16, 18964.99, 18760.79, 18777.04
10/26/15, 19036.13, 19088.76, 18937.45, 18947.12
10/23/15, 18762.65, 18915.64, 18746.61, 18825.30
10/22/15, 18443.69, 18579.14, 18376.01, 18435.87
10/21/15, 18167.64, 18605.41, 18167.64, 18554.28
10/20/15, 18245.54, 18253.13, 18147.98, 18207.15
10/19/15, 18282.78, 18314.09, 18078.43, 18131.23
10/16/15, 18300.83, 18397.52, 18238.78, 18291.80
10/15/15, 17804.91, 18170.67, 17758.12, 18096.90
10/14/15, 18106.66, 18126.39, 17831.53, 17891.00
10/13/15, 18335.15, 18359.71, 18223.80, 18234.74
10/09/15, 18281.51, 18438.67, 18184.96, 18438.67
10/08/15, 18310.62, 18400.69, 18121.68, 18141.17
10/07/15, 18168.20, 18379.23, 18043.08, 18322.98
10/06/15, 18302.41, 18372.72, 18094.85, 18186.10
10/05/15, 17921.00, 18079.46, 17869.74, 18005.49
10/02/15, 17564.39, 17775.77, 17537.85, 17725.13
10/01/15, 17479.97, 17831.58, 17389.57, 17722.42
09/30/15, 17193.84, 17460.97, 17179.40, 17388.15
09/29/15, 17359.38, 17366.95, 16901.49, 16930.84
09/28/15, 17811.12, 17886.49, 17562.60, 17645.11
09/25/15, 17618.30, 17880.51, 17483.69, 17880.51
09/24/15, 17803.41, 17865.84, 17571.83, 17571.83
09/18/15, 18275.48, 18295.90, 18069.50, 18070.21
09/17/15, 18361.99, 18468.20, 18289.63, 18432.27
09/16/15, 18238.15, 18291.97, 18094.99, 18171.60
09/15/15, 18082.72, 18329.57, 17995.98, 18026.48
09/14/15, 18341.01, 18344.07, 17925.09, 17965.70
09/11/15, 18155.71, 18362.99, 18124.35, 18264.22
09/10/15, 18418.64, 18420.56, 17956.15, 18299.62
09/09/15, 17758.13, 18770.51, 17756.76, 18770.51
09/08/15, 17941.91, 17962.56, 17415.61, 17427.08
09/07/15, 17674.82, 18013.64, 17478.72, 17860.47
09/04/15, 18312.13, 18312.13, 17608.17, 17792.16
09/03/15, 18359.53, 18481.57, 18176.75, 18182.39
09/02/15, 17861.81, 18467.44, 17857.30, 18095.40
09/01/15, 18763.72, 18777.47, 18165.69, 18165.69
08/31/15, 19006.98, 19019.61, 18749.77, 18890.48
08/28/15, 18908.73, 19192.82, 18901.09, 19136.32
08/27/15, 18680.47, 18810.05, 18486.46, 18574.44
08/26/15, 17894.29, 18442.84, 17714.30, 18376.83
08/25/15, 18171.66, 18835.35, 17747.50, 17806.70
08/24/15, 19075.05, 19154.65, 18498.80, 18540.68
08/21/15, 19711.34, 19737.54, 19435.83, 19435.83
08/20/15, 20194.26, 20246.47, 20033.29, 20033.52
08/19/15, 20467.49, 20521.97, 20218.03, 20222.63
08/18/15, 20640.59, 20663.18, 20545.25, 20554.47
08/17/15, 20600.16, 20668.87, 20541.00, 20620.26
08/14/15, 20518.36, 20605.46, 20484.67, 20519.45
08/13/15, 20392.54, 20633.91, 20306.98, 20595.55
08/12/15, 20632.68, 20703.20, 20303.02, 20392.77
08/11/15, 20920.60, 20946.93, 20582.01, 20720.75
08/10/15, 20618.31, 20820.86, 20617.05, 20808.69
08/07/15, 20601.57, 20754.00, 20567.51, 20724.56
08/06/15, 20768.77, 20817.48, 20664.44, 20664.44
08/05/15, 20490.15, 20715.48, 20469.87, 20614.06
08/04/15, 20462.18, 20552.04, 20448.49, 20520.36
08/03/15, 20540.21, 20562.20, 20396.50, 20548.11
07/31/15, 20506.55, 20585.24, 20466.80, 20585.24
07/30/15, 20450.61, 20583.57, 20443.89, 20522.83
07/29/15, 20425.69, 20425.69, 20205.21, 20302.91
07/28/15, 20188.57, 20423.58, 20070.62, 20328.89
07/27/15, 20374.05, 20486.93, 20278.73, 20350.10
07/24/15, 20603.63, 20631.54, 20527.78, 20544.53
07/23/15, 20693.57, 20708.23, 20648.76, 20683.95
07/22/15, 20657.80, 20677.84, 20576.19, 20593.67
07/21/15, 20763.31, 20850.00, 20710.34, 20841.97
07/17/15, 20646.63, 20658.95, 20611.22, 20650.92
07/16/15, 20588.98, 20612.50, 20522.25, 20600.12
07/15/15, 20478.85, 20496.60, 20401.09, 20463.33
07/14/15, 20355.33, 20435.53, 20322.20, 20385.33
07/13/15, 19929.92, 20120.15, 19911.39, 20089.77
07/10/15, 19829.93, 19978.24, 19720.15, 19779.83
07/09/15, 19422.78, 19855.50, 19115.20, 19855.50
07/08/15, 20282.49, 20310.89, 19737.64, 19737.64
07/07/15, 20354.23, 20428.00, 20337.18, 20376.59
07/06/15, 20200.15, 20310.72, 20012.23, 20112.12
07/03/15, 20476.69, 20557.51, 20431.25, 20539.79
07/02/15, 20565.94, 20601.73, 20479.85, 20522.50
07/01/15, 20291.05, 20346.74, 20225.27, 20329.32
06/30/15, 20174.61, 20243.18, 20118.26, 20235.73
06/29/15, 20305.97, 20361.60, 20093.16, 20109.95
06/26/15, 20758.43, 20785.76, 20650.00, 20706.15
06/25/15, 20777.69, 20866.58, 20758.60, 20771.40
06/24/15, 20889.32, 20952.71, 20838.22, 20868.03
06/23/15, 20547.74, 20809.42, 20531.13, 20809.42
06/22/15, 20174.14, 20433.30, 20174.14, 20428.19
06/19/15, 20152.41, 20194.45, 20075.91, 20174.24
06/18/15, 20193.59, 20200.51, 19990.55, 19990.82
06/17/15, 20306.10, 20323.08, 20126.57, 20219.27
06/16/15, 20332.83, 20368.21, 20234.16, 20257.94
06/15/15, 20205.10, 20401.48, 20205.10, 20387.79
06/12/15, 20431.78, 20437.26, 20331.19, 20407.08
06/11/15, 20183.61, 20382.97, 20178.04, 20382.97
06/10/15, 20126.36, 20264.92, 20016.32, 20046.36
06/09/15, 20293.05, 20332.42, 20095.48, 20096.30
06/08/15, 20537.85, 20544.94, 20359.06, 20457.19
06/05/15, 20398.76, 20480.25, 20363.18, 20460.90
06/04/15, 20539.94, 20552.46, 20438.21, 20488.19
06/03/15, 20443.15, 20506.35, 20397.73, 20473.51
06/02/15, 20604.67, 20619.61, 20470.26, 20543.19
06/01/15, 20444.54, 20595.41, 20410.27, 20569.87
05/29/15, 20510.27, 20636.41, 20508.40, 20563.15
05/28/15, 20590.28, 20655.33, 20473.27, 20551.46
05/27/15, 20380.64, 20513.22, 20363.21, 20472.58
05/26/15, 20431.27, 20473.85, 20378.77, 20437.48
05/25/15, 20331.92, 20417.77, 20318.54, 20413.77
05/22/15, 20208.85, 20278.31, 20130.84, 20264.41
05/21/15, 20215.46, 20320.90, 20175.78, 20202.87
05/20/15, 20175.59, 20278.89, 20148.51, 20196.56
05/19/15, 19977.14, 20087.70, 19946.75, 20026.38
05/18/15, 19766.16, 19890.27, 19741.22, 19890.27
05/15/15, 19693.17, 19750.76, 19633.75, 19732.92
05/14/15, 19661.52, 19717.80, 19546.82, 19570.24
05/13/15, 19568.76, 19791.88, 19494.70, 19764.72
05/12/15, 19608.23, 19626.75, 19467.65, 19624.84
05/11/15, 19637.58, 19679.63, 19586.81, 19620.91
05/08/15, 19315.63, 19458.75, 19302.71, 19379.19
05/07/15, 19356.46, 19461.08, 19257.85, 19291.99
05/01/15, 19510.85, 19549.39, 19399.16, 19531.63
04/30/15, 19847.50, 19852.66, 19502.61, 19520.01
04/28/15, 20068.65, 20133.78, 20031.71, 20058.95
04/27/15, 20063.80, 20069.24, 19909.86, 19983.32
04/24/15, 20142.47, 20142.47, 20013.74, 20020.04
04/23/15, 20227.28, 20252.12, 20116.19, 20187.65
04/22/15, 19999.84, 20144.66, 19983.00, 20133.90
04/21/15, 19731.57, 19909.09, 19678.22, 19909.09
04/20/15, 19501.00, 19725.86, 19474.23, 19634.49
04/17/15, 19810.40, 19815.25, 19638.37, 19652.88
04/16/15, 19862.48, 19894.35, 19742.12, 19885.77
04/15/15, 19838.53, 19913.42, 19823.86, 19869.76
04/14/15, 19828.65, 19922.50, 19828.65, 19908.68
04/13/15, 19967.38, 19975.66, 19825.69, 19905.46
04/10/15, 19989.55, 20006.00, 19845.31, 19907.63
04/09/15, 19851.12, 19957.32, 19822.49, 19937.72
04/08/15, 19729.70, 19845.53, 19693.63, 19789.81
04/07/15, 19539.03, 19667.48, 19501.31, 19640.54
04/06/15, 19295.03, 19424.09, 19241.29, 19397.98
04/03/15, 19289.04, 19435.08, 19289.04, 19435.08
04/02/15, 19141.93, 19433.89, 19115.14, 19312.79
04/01/15, 19129.75, 19195.23, 18927.95, 19034.84
03/31/15, 19592.43, 19607.25, 19206.99, 19206.99
03/30/15, 19295.21, 19474.07, 19227.29, 19411.40
03/27/15, 19374.72, 19590.03, 19099.87, 19285.63
03/26/15, 19605.60, 19623.11, 19397.01, 19471.12
03/25/15, 19745.75, 19775.45, 19542.22, 19746.20
03/24/15, 19718.99, 19770.64, 19646.35, 19713.45
03/23/15, 19607.98, 19778.60, 19584.73, 19754.36
03/20/15, 19479.71, 19565.44, 19416.63, 19560.22
03/19/15, 19514.64, 19557.17, 19312.70, 19476.56
03/18/15, 19407.76, 19555.72, 19389.24, 19544.48
03/17/15, 19425.89, 19479.89, 19373.39, 19437.00
03/16/15, 19245.38, 19349.20, 19226.71, 19246.06
03/13/15, 19119.58, 19335.80, 19042.25, 19254.25
03/12/15, 18787.10, 19008.13, 18774.42, 18991.11
03/11/15, 18604.87, 18836.93, 18583.52, 18723.52
03/10/15, 18891.01, 18924.38, 18577.06, 18665.11
03/09/15, 18872.96, 18878.15, 18733.87, 18790.55
03/06/15, 18814.85, 18979.64, 18808.30, 18971.00
03/05/15, 18658.16, 18767.50, 18655.36, 18751.84
03/04/15, 18716.78, 18732.66, 18586.84, 18703.60
03/03/15, 18910.52, 18910.52, 18730.57, 18815.16
03/02/15, 18869.40, 18939.17, 18775.23, 18826.88
02/27/15, 18844.28, 18865.39, 18714.64, 18797.94
02/26/15, 18587.87, 18790.83, 18587.13, 18785.79
02/25/15, 18636.34, 18648.77, 18552.81, 18585.20
02/24/15, 18468.39, 18603.48, 18427.98, 18603.48
02/23/15, 18499.58, 18509.08, 18402.02, 18466.92
02/20/15, 18336.50, 18360.92, 18297.67, 18332.30
02/19/15, 18237.35, 18322.50, 18237.35, 18264.79
02/18/15, 18103.98, 18202.61, 18092.32, 18199.17
02/17/15, 17949.70, 18009.45, 17901.26, 17987.09
02/16/15, 18024.01, 18074.26, 17978.90, 18004.77
02/13/15, 17892.10, 17962.11, 17864.55, 17913.36
02/12/15, 17899.40, 18005.45, 17884.34, 17979.72
02/10/15, 17662.67, 17673.27, 17550.03, 17652.68
02/09/15, 17790.31, 17799.49, 17653.61, 17711.93
02/06/15, 17696.18, 17700.67, 17603.07, 17648.50
02/05/15, 17589.21, 17619.34, 17484.67, 17504.62
02/04/15, 17549.30, 17743.11, 17535.04, 17678.74
02/03/15, 17654.60, 17654.60, 17271.87, 17335.85
02/02/15, 17536.61, 17628.40, 17459.45, 17558.04
01/30/15, 17788.74, 17808.47, 17661.10, 17674.39
01/29/15, 17666.91, 17778.83, 17575.10, 17606.22
01/28/15, 17615.93, 17850.59, 17615.93, 17795.73
01/27/15, 17649.40, 17768.41, 17633.47, 17768.30
01/26/15, 17285.71, 17471.94, 17285.71, 17468.52
01/23/15, 17520.63, 17532.06, 17460.76, 17511.75
01/22/15, 17306.64, 17355.74, 17229.21, 17329.02
01/21/15, 17308.72, 17329.03, 17181.55, 17280.48
01/20/15, 17071.65, 17366.30, 17066.77, 17366.30
01/19/15, 17000.78, 17039.80, 16911.58, 17014.29
01/16/15, 16812.96, 16864.34, 16592.57, 16864.16
01/15/15, 16872.95, 17141.98, 16856.22, 17108.70
01/14/15, 16961.82, 17036.72, 16770.56, 16795.96
01/13/15, 16970.88, 17087.71, 16828.27, 17087.71
01/09/15, 17318.74, 17342.65, 17129.53, 17197.73
01/08/15, 17067.40, 17243.71, 17016.09, 17167.10
01/07/15, 16808.26, 16974.61, 16808.26, 16885.33
01/06/15, 17101.58, 17111.36, 16881.73, 16883.19
01/05/15, 17325.68, 17540.92, 17219.22, 17408.71
